symbol,name,weight
NVDA,NVIDIA CORP,7.627115
MSFT,MICROSOFT CORP,6.697946
AAPL,APPLE INC,6.613772
GOOGL,Alphabet Inc. (Class A & C combined),4.5833639999999995
AMZN,AMAZON.COM INC,3.774869
META,META PLATFORMS INC CLASS A,2.914091
AVGO,BROADCOM INC,2.818876
TSLA,TESLA INC,2.194632
BRK.B,BERKSHIRE HATHAWAY INC CL B,1.609991
JPM,JPMORGAN CHASE + CO,1.522196
LLY,ELI LILLY + CO,1.041673
V,VISA INC CLASS A SHARES,1.0161
NFLX,NETFLIX INC,0.903538
ORCL,ORACLE CORP,0.902828
XOM,EXXON MOBIL CORP,0.86258
MA,MASTERCARD INC   A,0.829288
WMT,WALMART INC,0.79636
JNJ,JOHNSON + JOHNSON,0.751531
COST,COSTCO WHOLESALE CORP,0.740364
PLTR,PALANTIR TECHNOLOGIES INC A,0.721218
HD,HOME DEPOT INC,0.720033
ABBV,ABBVIE INC,0.686346
PG,PROCTER + GAMBLE CO/THE,0.630535
BAC,BANK OF AMERICA CORP,0.622194
UNH,UNITEDHEALTH GROUP INC,0.562705
