symbol,name,weight
NVDA,NVIDIA CORP,8.007788
MSFT,MICROSOFT CORP,6.770431
AAPL,APPLE INC,6.646191
AMZN,AMAZON.COM INC,3.793232
AVGO,BROADCOM INC,2.820101
META,META PLATFORMS INC CLASS A,2.701946
GOOGL,ALPHABET INC CL A,2.469382
TSLA,TESLA INC,2.136281
GOOG,ALPHABET INC CL C,1.989177
BRK.B,BERKSHIRE HATHAWAY INC CL B,1.590588
JPM,JPMORGAN CHASE + CO,1.45077
LLY,ELI LILLY + CO,1.166752
V,VISA INC CLASS A SHARES,1.035708
NFLX,NETFLIX INC,0.895329
XOM,EXXON MOBIL CORP,0.8435
ORCL,ORACLE CORP,0.828579
MA,MASTERCARD INC   A,0.824626
JNJ,JOHNSON + JOHNSON,0.792714
WMT,WALMART INC,0.783728
PLTR,PALANTIR TECHNOLOGIES INC A,0.724391
ABBV,ABBVIE INC,0.708826
COST,COSTCO WHOLESALE CORP,0.70397
AMD,ADVANCED MICRO DEVICES,0.663287
HD,HOME DEPOT INC,0.662589
PG,PROCTER + GAMBLE CO/THE,0.612477
BAC,BANK OF AMERICA CORP,0.589321
UNH,UNITEDHEALTH GROUP INC,0.581325
GE,GENERAL ELECTRIC,0.556713
CVX,CHEVRON CORP,0.513884
CSCO,CISCO SYSTEMS INC,0.483237
IBM,INTL BUSINESS MACHINES CORP,0.467839
KO,COCA COLA CO/THE,0.444361
WFC,WELLS FARGO + CO,0.44316
PM,PHILIP MORRIS INTERNATIONAL,0.419354
CAT,CATERPILLAR INC,0.408148
GS,GOLDMAN SACHS GROUP INC,0.407868
ABT,ABBOTT LABORATORIES,0.405463
CRM,SALESFORCE INC,0.398799
RTX,RTX CORP,0.391486
MU,MICRON TECHNOLOGY INC,0.381603
LIN,LINDE PLC,0.38062
MRK,MERCK + CO. INC.,0.374423
MCD,MCDONALD S CORP,0.364504
UBER,UBER TECHNOLOGIES INC,0.359211
TMO,THERMO FISHER SCIENTIFIC INC,0.351265
DIS,WALT DISNEY CO/THE,0.34903
